sig_id,cell_id,pert_id,pert_dose
ASG002_A549_24H:A22,A549,BRD-K56429665,10.0
ASG002_A549_24H:O07,A549,BRD-K27316855,10.0
LKCP001_U2OS_24H:F09,U2OS,BRD-K84163249,0.1
LKCP001_U2OS_24H:J22,U2OS,BRD-K73237276,10.0
LKCP001_U2OS_24H:J23,U2OS,BRD-K73237276,1.0
LKCP001_U2OS_24H:J24,U2OS,BRD-K73237276,0.1
LKCP001_U2OS_24H:N10,U2OS,BRD-K28456624,10.0
LKCP001_U2OS_24H:N11,U2OS,BRD-K28456624,1.0
LKCP001_U2OS_24H:N12,U2OS,BRD-K28456624,0.1
ASG003_U2OS_24H:G24,U2OS,BRD-K27316855,0.1
LKCP001_MCF7_24H:N10,MCF7,BRD-K28456624,10.0
LKCP001_MCF7_24H:N11,MCF7,BRD-K28456624,1.0
LKCP001_MCF7_24H:N12,MCF7,BRD-K28456624,0.1
LKCP001_U2OS_24H:E19,U2OS,BRD-K28731095,5.0
LKCP001_U2OS_24H:E20,U2OS,BRD-K28731095,0.5
LKCP001_U2OS_24H:E21,U2OS,BRD-K28731095,0.05
LKCP001_U2OS_24H:F07,U2OS,BRD-K84163249,10.0
LKCP001_U2OS_24H:F08,U2OS,BRD-K84163249,1.0
LKCP001_MCF7_24H:E20,MCF7,BRD-K28731095,0.5
LKCP001_MCF7_24H:E21,MCF7,BRD-K28731095,0.05
LKCP001_MCF7_24H:F07,MCF7,BRD-K84163249,10.0
LKCP001_MCF7_24H:F08,MCF7,BRD-K84163249,1.0
LKCP001_MCF7_24H:F09,MCF7,BRD-K84163249,0.1
LKCP001_MCF7_24H:J22,MCF7,BRD-K73237276,10.0
LKCP001_MCF7_24H:J23,MCF7,BRD-K73237276,1.0
LKCP001_MCF7_24H:J24,MCF7,BRD-K73237276,0.1
LKCP001_A549_24H:F09,A549,BRD-K84163249,0.1
LKCP001_A549_24H:J22,A549,BRD-K73237276,10.0
LKCP001_A549_24H:J23,A549,BRD-K73237276,1.0
LKCP001_A549_24H:J24,A549,BRD-K73237276,0.1
LKCP001_A549_24H:N10,A549,BRD-K28456624,10.0
LKCP001_A549_24H:N11,A549,BRD-K28456624,1.0
LKCP001_A549_24H:N12,A549,BRD-K28456624,0.1
LKCP001_MCF7_24H:E19,MCF7,BRD-K28731095,5.0
REP.A014_MCF7_24H:H24,MCF7,BRD-K60585088,0.0411523
REP.A014_PC3_24H:H19,PC3,BRD-K60585088,10.0
REP.A014_PC3_24H:H20,PC3,BRD-K60585088,3.33333
REP.A014_PC3_24H:H22,PC3,BRD-K60585088,0.37037
REP.A014_PC3_24H:H23,PC3,BRD-K60585088,0.123457
REP.A014_PC3_24H:H24,PC3,BRD-K60585088,0.0411523
REP.A021_A549_24H:D01,A549,BRD-K81332461,10.0
REP.A021_A549_24H:D02,A549,BRD-K81332461,3.33333
REP.A014_HA1E_24H:H21,HA1E,BRD-K60585088,1.11111
REP.A014_HA1E_24H:H22,HA1E,BRD-K60585088,0.37037
REP.A014_HA1E_24H:H24,HA1E,BRD-K60585088,0.0411523
